Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
25-50€;teufel-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;2.0;64.6;2.0;0.0;100.6;36.0;14.98
 0- 5€;partsrunner-shop;2017-05-22;2017;2017-02-01;2017-05-01;0;267.88;700.82;1389.0;0.0;5133.25;4441.33;2616.95
 5-10€;partsrunner-shop;2017-05-22;2017;2017-02-01;2017-05-01;0;74.71;1649.94;332.0;0.0;2832.9;1194.33;645.23
 > 50€;partsrunner-shop;2017-05-22;2017;2017-02-01;2017-05-01;0;33.39;5040.15;125.0;0.0;5634.62;798.26;60.47
10-25€;partsrunner-shop;2017-05-22;2017;2017-02-01;2017-05-01;0;123.68;4070.92;377.0;0.0;5672.82;1662.51;650.47
25-50€;partsrunner-shop;2017-05-22;2017;2017-02-01;2017-05-01;0;61.13;4235.84;199.0;0.0;5146.41;1028.32;262.45
 0- 5€;partsrunner-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;133.29;192.44;248.0;1.0;1306.59;1121.07;491.91
 5-10€;partsrunner-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;77.73;544.78;106.0;0.0;1226.53;695.64;220.38
 > 50€;partsrunner-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;21.0;2642.19;40.0;2.0;3197.11;571.72;-120.04
10-25€;partsrunner-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;80.0;1117.05;109.0;4.0;1846.43;777.6;127.72
25-50€;partsrunner-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;39.0;1488.22;65.0;9.0;2038.12;589.59;0.73
 0- 5€;partsrunner-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;22.64;-37.15;96.0;0.0;314.13;351.28;234.49
 5-10€;partsrunner-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;8.7;83.11;19.0;0.0;177.24;94.35;39.22
 > 50€;partsrunner-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;12.33;1005.55;16.0;0.0;1161.49;190.24;-108.88
10-25€;partsrunner-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;18.48;410.9;46.0;0.0;649.58;249.11;62.03
25-50€;partsrunner-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;13.83;527.86;19.0;0.0;689.0;168.19;-3.64
 0- 5€;carmaster-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;12.0;16.15;13.0;0.0;123.4;108.91;59.81
 5-10€;carmaster-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;6.5;42.89;7.0;0.0;101.29;62.25;22.65
 > 50€;carmaster-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;7.0;530.02;7.0;0.0;628.22;98.2;21.53
10-25€;carmaster-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;45.0;738.6;47.0;0.0;1136.28;408.72;165.12
25-50€;carmaster-ebay;2017-05-22;2017;2017-02-01;2017-05-01;0;28.5;907.97;32.0;0.0;1194.55;302.06;102.88
 0- 5€;carmaster-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;5.0;8.23;5.0;0.0;43.34;36.2;18.99
 5-10€;carmaster-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;2.0;13.05;3.0;0.0;31.4;18.35;10.51
10-25€;carmaster-daparto;2017-05-22;2017;2017-02-01;2017-05-01;0;3.0;67.66;17.0;0.0;126.42;58.76;40.25
 0- 5€;teufel-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;0.5;0.68;1.0;0.0;8.11;7.43;5.24
 5-10€;teufel-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;1.5;18.77;2.0;0.0;37.99;19.22;10.68
 > 50€;teufel-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;7.25;1030.46;10.0;0.0;1166.2;135.74;-73.2
10-25€;teufel-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;3.0;54.17;3.0;0.0;88.29;34.12;11.69
25-50€;teufel-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;1.75;113.01;3.0;0.0;136.38;23.37;-2.41
 5-10€;partsrunner-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;0.4;10.4;2.0;0.0;20.3;9.9;5.78
 > 50€;partsrunner-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;2.0;143.8;3.0;0.0;164.34;41.94;-6.06
10-25€;partsrunner-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;0.73;30.08;5.0;0.0;69.87;44.33;31.85
25-50€;partsrunner-tyre24;2017-05-22;2017;2017-02-01;2017-05-01;0;0.86;113.6;5.0;0.0;120.64;7.04;-12.39
 0- 5€;teufel-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;91.62;395.0;583.0;0.0;3320.84;2966.06;1561.25
 5-10€;teufel-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;46.9;949.28;184.0;0.0;1912.84;1003.06;604.85
 > 50€;teufel-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;70.79;10288.16;152.0;0.0;11560.31;1457.73;27.22
10-25€;teufel-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;74.43;3071.49;276.0;0.0;4629.91;1630.46;837.06
25-50€;teufel-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;55.32;3997.64;156.0;0.0;4950.26;1075.2;346.74
 0- 5€;teufel-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;20.0;24.59;30.0;1.0;130.24;105.65;46.29
 5-10€;teufel-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;13.0;97.28;13.0;0.0;202.99;105.71;31.57
 > 50€;teufel-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;24.0;2732.53;29.0;2.0;3183.77;451.24;-202.99
10-25€;teufel-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;23.0;415.52;33.0;2.0;661.6;250.46;57.24
25-50€;teufel-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;13.0;561.39;14.0;4.0;732.76;187.14;-13.87
 0- 5€;teufel-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;0.5;0.68;1.0;0.0;6.79;6.11;3.98
 5-10€;teufel-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;1.0;-2.25;1.0;0.0;-2.65;2.25;-3.1
 > 50€;teufel-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;5.0;634.51;5.0;0.0;689.05;54.54;-86.86
10-25€;teufel-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;1.0;19.98;1.0;0.0;36.61;16.63;5.47
25-50€;teufel-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;2.5;70.83;4.0;0.0;94.46;32.07;-4.35
 0- 5€;partsrunner-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;48.5;112.4;270.0;0.0;1126.22;1017.28;699.84
 5-10€;partsrunner-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;17.4;301.68;65.0;0.0;593.75;302.38;175.54
 > 50€;partsrunner-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;25.11;3789.89;100.0;0.0;4448.19;733.35;206.93
10-25€;partsrunner-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;34.83;1152.2;145.0;0.0;1812.07;681.19;384.31
25-50€;partsrunner-shop;2017-05-23;2017;2017-02-01;2017-05-01;1;17.85;1337.94;53.0;0.0;1668.72;359.19;88.96
 0- 5€;partsrunner-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;127.68;219.82;197.0;1.0;1109.93;891.41;374.71
 5-10€;partsrunner-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;64.85;455.69;87.0;0.0;990.67;550.59;158.22
 > 50€;partsrunner-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;22.17;2599.41;24.0;7.0;3184.66;585.25;-68.82
10-25€;partsrunner-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;69.73;1293.85;116.0;8.0;2142.93;862.86;230.42
25-50€;partsrunner-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;28.54;1264.28;57.0;8.0;1754.35;509.15;59.23
 0- 5€;partsrunner-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;17.12;20.18;53.0;0.0;246.1;225.92;129.8
 5-10€;partsrunner-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;8.19;141.16;32.0;0.0;283.88;142.72;58.98
 > 50€;partsrunner-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;2.17;262.84;7.0;0.0;317.24;54.4;-6.83
10-25€;partsrunner-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;17.49;461.51;37.0;0.0;695.35;241.52;58.67
25-50€;partsrunner-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;9.07;397.4;28.0;0.0;536.97;150.43;15.86
 0- 5€;carmaster-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;15.0;28.18;18.0;0.0;179.08;153.01;77.08
 5-10€;carmaster-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;4.0;23.21;4.0;0.0;64.25;41.04;20.13
 > 50€;carmaster-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;10.0;510.43;18.0;0.0;681.78;220.76;106.79
10-25€;carmaster-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;27.0;472.91;28.0;0.0;724.04;255.44;96.79
25-50€;carmaster-ebay;2017-05-23;2017;2017-02-01;2017-05-01;1;25.0;862.72;28.0;0.0;1159.89;297.17;115.17
 0- 5€;carmaster-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;3.5;10.85;5.0;0.0;41.62;30.77;18.17
 5-10€;carmaster-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;3.5;50.66;12.0;0.0;103.27;52.61;34.76
 > 50€;carmaster-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;3.0;130.35;9.0;0.0;125.7;49.47;2.22
10-25€;carmaster-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;9.5;215.28;14.0;0.0;321.8;111.95;52.14
25-50€;carmaster-daparto;2017-05-23;2017;2017-02-01;2017-05-01;1;2.5;124.03;3.0;0.0;148.59;24.56;5.46
 5-10€;teufel-tyre24;2017-05-23;2017;2017-02-01;2017-05-01;1;0.66;14.46;2.0;0.0;28.94;14.48;8.94
 > 50€;teufel-tyre24;2017-05-23;2017;2017-02-01;2017-05-01;1;8.0;924.99;9.0;0.0;1026.73;101.74;-73.5
10-25€;teufel-tyre24;2017-05-23;2017;2017-02-01;2017-05-01;1;2.73;103.83;6.0;0.0;152.95;49.12;21.05
25-50€;teufel-tyre24;2017-05-23;2017;2017-02-01;2017-05-01;1;3.6;212.22;8.0;0.0;275.02;62.8;15.08
 0- 5€;teufel-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;72.57;243.14;404.0;0.0;2534.93;2304.79;1151.19
 5-10€;teufel-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;27.22;682.66;119.0;0.0;1313.95;638.57;415.19
 > 50€;teufel-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;48.55;7633.26;108.0;0.0;8511.26;1031.41;-32.4
10-25€;teufel-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;60.64;2384.63;184.0;0.0;3464.96;1148.06;513.37
25-50€;teufel-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;54.86;4117.37;169.0;0.0;5201.31;1154.11;336.46
 0- 5€;teufel-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;7.0;19.65;8.0;0.0;71.69;52.04;22.46
 5-10€;teufel-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;8.0;56.88;9.0;0.0;134.38;77.5;30.22
 > 50€;teufel-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;19.0;2165.24;21.0;0.0;2404.77;323.37;-258.18
10-25€;teufel-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;16.0;231.36;16.0;0.0;361.95;134.6;15.18
25-50€;teufel-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;19.0;733.7;23.0;1.0;981.26;247.56;-42.72
 0- 5€;teufel-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;0.33;0.12;2.0;0.0;8.08;7.96;5.93
 5-10€;teufel-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;0.33;-2.25;1.0;0.0;-1.2;4.23;-2.08
 > 50€;teufel-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;4.0;408.38;5.0;0.0;444.59;36.21;-52.71
10-25€;teufel-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;0.33;13.74;2.0;0.0;23.64;9.9;5.23
25-50€;teufel-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;3.0;101.17;3.0;0.0;140.05;38.88;-0.79
 0- 5€;partsrunner-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;30.27;5.3;168.0;0.0;768.82;763.52;459.08
 5-10€;partsrunner-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;14.11;234.2;38.0;0.0;423.56;191.34;90.45
 > 50€;partsrunner-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;16.04;2512.33;33.0;0.0;2813.56;318.66;5.62
10-25€;partsrunner-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;25.21;785.79;96.0;0.0;1252.14;483.82;250.71
25-50€;partsrunner-shop;2017-05-24;2017;2017-02-01;2017-05-01;2;14.3;1064.91;58.0;0.0;1348.22;305.37;108.5
 0- 5€;partsrunner-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;63.24;99.17;105.0;0.0;620.71;527.6;225.31
 5-10€;partsrunner-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;43.25;284.22;58.0;0.0;645.95;372.78;109.79
 > 50€;partsrunner-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;11.0;1330.15;27.0;2.0;1641.84;331.47;-43.43
10-25€;partsrunner-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;41.5;647.25;61.0;4.0;1034.35;408.56;58.2
25-50€;partsrunner-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;20.0;775.27;36.0;5.0;1053.67;303.35;-4.02
 0- 5€;partsrunner-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;12.82;-4.73;45.0;0.0;175.62;180.35;108.59
 5-10€;partsrunner-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;1.83;29.66;8.0;0.0;64.33;34.67;19.67
 > 50€;partsrunner-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;6.0;566.6;9.0;0.0;624.87;93.26;-91.7
10-25€;partsrunner-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;8.83;220.36;24.0;0.0;354.25;133.89;46.64
25-50€;partsrunner-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;7.5;300.9;12.0;0.0;397.64;102.2;4.21
 0- 5€;carmaster-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;6.5;0.38;15.0;0.0;121.73;121.35;91.7
 5-10€;carmaster-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;3.0;19.63;4.0;0.0;59.03;39.4;25.47
 > 50€;carmaster-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;14.0;1047.39;23.0;0.0;1267.29;236.1;69.0
10-25€;carmaster-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;20.5;342.31;22.0;0.0;544.96;202.65;90.48
25-50€;carmaster-ebay;2017-05-24;2017;2017-02-01;2017-05-01;2;15.0;501.5;16.0;0.0;661.16;159.66;57.2
 0- 5€;carmaster-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;2.84;-0.95;31.0;0.0;88.13;89.08;74.22
 5-10€;carmaster-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;3.14;20.12;4.0;0.0;46.38;27.89;12.47
 > 50€;carmaster-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;1.0;61.0;1.0;0.0;76.18;15.18;3.64
10-25€;carmaster-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;1.0;16.95;1.0;0.0;25.53;8.58;1.34
25-50€;carmaster-daparto;2017-05-24;2017;2017-02-01;2017-05-01;2;2.0;80.07;2.0;0.0;98.82;18.75;5.18
 0- 5€;teufel-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;0.0;0.0;0.0;0.0;59.5;59.5;0.0
 5-10€;teufel-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;1.0;7.9;1.0;0.0;19.56;11.66;6.8
 > 50€;teufel-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;8.0;863.94;8.0;0.0;973.85;109.91;-68.96
10-25€;teufel-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;1.0;16.19;1.0;0.0;28.52;12.33;6.17
25-50€;teufel-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;3.0;101.45;3.0;0.0;139.29;37.84;11.58
 > 50€;partsrunner-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;1.0;60.72;1.0;0.0;73.61;12.89;0.2
10-25€;partsrunner-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;0.5;-2.25;1.0;0.0;7.56;16.11;2.31
25-50€;partsrunner-tyre24;2017-05-24;2017;2017-02-01;2017-05-01;2;2.49;134.16;5.0;0.0;177.56;50.69;-11.61
 0- 5€;teufel-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;66.7;186.2;389.0;0.0;1942.28;1768.37;1118.93
 5-10€;teufel-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;30.85;660.57;111.0;0.0;1280.76;627.18;382.63
 > 50€;teufel-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;28.6;4211.83;79.0;0.0;4651.83;580.57;-45.61
10-25€;teufel-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;33.71;1418.52;126.0;0.0;2132.32;752.37;343.94
25-50€;teufel-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;28.92;2795.5;96.0;0.0;3442.19;684.22;185.52
 0- 5€;teufel-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;10.25;14.84;14.0;2.0;119.85;107.0;30.32
 5-10€;teufel-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;9.5;68.91;13.0;0.0;154.0;91.74;27.2
 > 50€;teufel-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;19.75;2101.89;34.0;0.0;2556.06;454.17;-66.86
10-25€;teufel-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;7.5;176.73;9.0;1.0;266.84;90.11;6.5
25-50€;teufel-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;14.0;433.26;18.0;0.0;577.08;162.17;-5.48
 0- 5€;teufel-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;2.16;11.03;4.0;0.0;39.81;28.78;12.79
 5-10€;teufel-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;1.5;16.75;2.0;0.0;33.22;16.47;-1.61
 > 50€;teufel-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;5.0;403.51;7.0;0.0;410.3;43.47;-90.1
10-25€;teufel-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;1.33;41.14;2.0;0.0;57.16;16.02;3.7
25-50€;teufel-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;3.0;115.02;3.0;0.0;160.04;45.02;1.46
 0- 5€;partsrunner-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;28.02;13.58;196.0;0.0;764.17;750.59;496.73
 5-10€;partsrunner-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;7.23;156.53;31.0;0.0;298.6;142.07;86.55
 > 50€;partsrunner-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;6.37;722.61;43.0;0.0;818.03;206.79;53.02
10-25€;partsrunner-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;22.0;650.64;78.0;0.0;1050.76;405.06;241.45
25-50€;partsrunner-shop;2017-05-25;2017;2017-02-01;2017-05-01;3;9.23;877.1;34.0;0.0;1113.46;236.36;99.01
 0- 5€;partsrunner-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;62.17;68.73;120.0;0.0;561.41;494.04;214.61
 5-10€;partsrunner-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;41.34;305.61;52.0;0.0;667.31;364.05;111.92
 > 50€;partsrunner-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;7.0;344.22;10.0;1.0;413.43;119.39;-35.91
10-25€;partsrunner-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;26.51;537.53;39.0;4.0;865.61;331.79;84.8
25-50€;partsrunner-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;19.0;948.25;23.0;7.0;1264.04;325.67;17.48
 0- 5€;partsrunner-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;12.07;-79.16;84.0;0.0;176.1;259.94;193.58
 5-10€;partsrunner-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;2.97;30.51;17.0;0.0;81.24;60.27;26.8
 > 50€;partsrunner-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;2.0;241.71;10.0;0.0;283.86;42.15;-10.52
10-25€;partsrunner-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;11.66;311.28;22.0;0.0;473.34;165.0;49.75
25-50€;partsrunner-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;4.28;220.09;15.0;0.0;290.59;70.5;1.08
 0- 5€;carmaster-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;9.5;15.42;13.0;0.0;112.52;97.1;53.62
 5-10€;carmaster-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;2.0;14.71;3.0;0.0;45.41;30.7;18.42
 > 50€;carmaster-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;6.0;536.64;7.0;0.0;646.47;109.83;37.45
10-25€;carmaster-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;17.0;265.5;17.0;0.0;409.52;148.16;53.16
25-50€;carmaster-ebay;2017-05-25;2017;2017-02-01;2017-05-01;3;11.5;415.66;13.0;0.0;549.53;133.87;45.55
 0- 5€;carmaster-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;3.0;-19.35;19.0;0.0;41.33;60.68;49.4
 > 50€;carmaster-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;1.0;60.01;1.0;0.0;69.87;9.86;1.33
10-25€;carmaster-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;4.0;74.5;4.0;0.0;112.3;37.8;17.9
25-50€;carmaster-daparto;2017-05-25;2017;2017-02-01;2017-05-01;3;1.0;34.03;1.0;0.0;42.95;8.92;2.68
 0- 5€;teufel-tyre24;2017-05-25;2017;2017-02-01;2017-05-01;3;0.0;0.0;0.0;0.0;59.5;59.5;0.0
 > 50€;teufel-tyre24;2017-05-25;2017;2017-02-01;2017-05-01;3;2.33;123.23;5.0;0.0;160.5;65.77;14.97
10-25€;teufel-tyre24;2017-05-25;2017;2017-02-01;2017-05-01;3;0.33;21.68;1.0;0.0;27.9;6.22;1.19
25-50€;teufel-tyre24;2017-05-25;2017;2017-02-01;2017-05-01;3;1.33;81.28;3.0;0.0;101.43;20.15;2.43
 0- 5€;teufel-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;77.37;70.75;509.0;0.0;2051.49;1997.84;1383.18
 5-10€;teufel-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;30.24;642.91;134.0;0.0;1279.76;666.88;361.06
 > 50€;teufel-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;47.89;7258.39;113.0;0.0;8051.25;973.69;-48.58
10-25€;teufel-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;62.74;2463.08;202.0;0.0;3722.41;1322.09;648.63
25-50€;teufel-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;48.98;3875.13;136.0;0.0;4862.91;1044.49;306.19
 0- 5€;teufel-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;9.0;-36.04;40.0;0.0;182.99;228.63;109.91
 5-10€;teufel-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;11.0;79.18;11.0;0.0;169.44;90.26;22.96
 > 50€;teufel-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;15.0;1951.93;15.0;0.0;2185.12;254.17;-205.88
10-25€;teufel-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;12.5;229.04;13.0;0.0;349.09;120.05;14.4
25-50€;teufel-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;22.5;779.98;24.0;0.0;998.5;239.12;-57.42
 0- 5€;teufel-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;0.5;0.63;1.0;0.0;4.24;3.61;1.4
 5-10€;teufel-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;1.0;8.6;4.0;0.0;26.91;18.31;11.78
 > 50€;teufel-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;5.5;484.09;7.0;0.0;501.55;40.63;-88.57
10-25€;teufel-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;2.0;48.88;3.0;0.0;91.51;42.63;13.61
25-50€;teufel-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;2.0;57.88;2.0;0.0;84.36;26.48;5.25
 0- 5€;partsrunner-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;30.7;85.19;154.0;0.0;680.66;596.23;404.35
 5-10€;partsrunner-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;19.56;325.57;62.0;0.0;631.94;313.84;184.01
 > 50€;partsrunner-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;16.55;1776.5;44.0;0.0;2106.19;388.55;12.42
10-25€;partsrunner-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;20.84;677.79;87.0;0.0;1099.55;438.66;249.22
25-50€;partsrunner-shop;2017-05-26;2017;2017-02-01;2017-05-01;4;15.3;939.97;48.0;0.0;1254.56;326.17;161.94
 0- 5€;partsrunner-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;73.5;104.3;152.0;2.0;707.3;604.34;292.33
 5-10€;partsrunner-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;36.0;247.55;46.0;0.0;556.52;311.58;107.19
 > 50€;partsrunner-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;11.5;1666.28;25.0;5.0;1988.91;335.26;-95.63
10-25€;partsrunner-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;36.5;684.93;54.0;5.0;1111.34;426.41;91.51
25-50€;partsrunner-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;24.5;980.98;35.0;4.0;1378.89;408.7;58.91
 0- 5€;partsrunner-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;9.91;11.57;41.0;0.0;166.12;154.55;88.29
 5-10€;partsrunner-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;6.1;68.99;12.0;0.0;140.35;71.36;31.27
 > 50€;partsrunner-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;4.74;675.82;16.0;0.0;809.51;148.73;-35.99
10-25€;partsrunner-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;7.95;323.76;30.0;0.0;478.68;154.92;48.29
25-50€;partsrunner-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;8.35;454.79;21.0;0.0;578.38;142.01;0.23
 0- 5€;carmaster-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;4.0;9.24;4.0;0.0;44.96;35.72;17.54
