Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
25-50€;partsrunner-tyre24;2017-01-02;2017;2017-01-01;2017-01-01;0;1.0;42.0;2.0;0.0;60.22;18.22;7.32
 0- 5€;teufel-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;67.39;364.19;376.0;0.0;2156.62;1803.61;1136.9
 5-10€;teufel-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;36.29;698.2;141.0;0.0;1458.01;775.41;519.96
 > 50€;teufel-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;37.32;5871.25;86.0;0.0;6588.72;772.22;-29.13
10-25€;teufel-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;58.63;2154.47;177.0;0.0;3339.96;1207.4;643.29
25-50€;teufel-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;38.93;2859.81;112.0;0.0;3701.29;868.0;366.84
 0- 5€;teufel-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;124.0;107.94;148.0;0.0;933.98;834.35;275.01
 5-10€;teufel-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;44.99;331.56;57.0;0.0;742.8;416.89;134.63
 > 50€;teufel-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;15.0;1349.06;19.0;0.0;1616.06;286.44;-72.63
10-25€;teufel-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;30.0;431.36;43.0;0.0;751.81;336.3;73.36
25-50€;teufel-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;31.0;920.1;32.0;0.0;1199.82;301.57;-50.42
 0- 5€;teufel-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;0.2;1.79;1.0;0.0;5.25;3.46;0.78
 > 50€;teufel-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;9.2;880.43;10.0;0.0;836.48;72.51;-246.57
10-25€;teufel-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;3.6;103.77;9.0;0.0;179.87;76.1;21.34
25-50€;teufel-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;4.0;108.31;9.0;0.0;162.58;63.14;12.24
 0- 5€;partsrunner-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;53.86;23.52;324.0;0.0;1162.96;1153.03;804.13
 5-10€;partsrunner-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;22.54;342.52;76.0;0.0;683.85;344.79;198.93
 > 50€;partsrunner-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;11.07;1132.79;34.0;0.0;1333.24;246.99;68.59
10-25€;partsrunner-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;30.6;985.02;99.0;0.0;1412.96;479.57;219.04
25-50€;partsrunner-shop;2017-01-03;2017;2017-01-01;2017-01-01;1;18.91;1394.13;64.0;0.0;1703.28;364.33;78.36
 0- 5€;partsrunner-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;10.0;14.14;12.0;0.0;89.75;81.17;27.16
 5-10€;partsrunner-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;8.0;55.02;9.0;0.0;142.25;87.23;38.58
